Molecular Weight,Ligand Efficiency BEI,pChEMBL Value,lo10(pChEMBL Value),log10(Ligand Efficiency BEI),Ligand Efficiency BEI/MW
2401.76,2.75,6.6,2.560985672,2.941196914,0.001144994
2544.95,2.59,6.6,2.586135319,2.99237949,0.001017702
2420.8,2.73,6.6,2.564414975,2.947796264,0.001127726
2372.76,2.78,6.6,2.555709877,2.931209016,0.001171631
2445.77,2.7,6.6,2.568871678,2.957051849,0.001103947
2516.98,2.11,5.3,2.676603895,3.076597309,0.000838306
2549.03,2.35,6,2.628223696,3.035307085,0.000921919
2519,2.38,6,2.623076917,3.02465121,0.000944819
2472.88,2.43,6,2.615051792,3.007596769,0.00098266
2416.73,2.19,5.3,2.658952264,3.042784018,0.000906183
2360.7,2.8,6.6,2.553496864,2.925882769,0.001186089
2395.8,2.76,6.6,2.559906625,2.938541479,0.001152016
2388.71,2.76,6.6,2.558619492,2.937254346,0.001155435
2390.8,2.76,6.6,2.558999312,2.937634165,0.001154425
2449.83,2.69,6.6,2.569592013,2.959383669,0.001098035
2420.78,2.73,6.6,2.564411387,2.947792676,0.001127736
2456.86,2.69,6.6,2.570836474,2.96062813,0.001094893
2401.8,2.93,7.05,2.532347723,2.91366922,0.001219918
2514.92,2.7,6.8,2.568015262,2.96916041,0.001073593
2471.9,2.72,6.73,2.565015833,2.958461993,0.001100368
2420.78,3.16,7.64,2.500861964,2.88426824,0.001305364
2404.71,2.79,6.72,2.553693436,2.935458506,0.001160223
2463.87,2.83,6.98,2.547762367,2.939831354,0.0011486
2544.95,2.77,7.05,2.557490137,2.963199485,0.00108843
2445.81,3.08,7.52,2.512204876,2.899872,0.001259297
2412.82,3.08,7.43,2.51153611,2.893974208,0.001276515
2328.75,3.21,7.48,2.49322127,2.860617835,0.001378422
2447.88,2.81,6.89,2.550570902,2.940083804,0.001147932
2461.9,2.77,6.81,2.558123296,2.948790639,0.001125147
2259.56,3.01,6.81,2.520876766,2.875457382,0.001332118
2403.73,2.92,7.01,2.535167666,2.915502832,0.001214779
2472.84,2.96,7.33,2.528092043,2.921904306,0.001197004
2458.86,3.11,7.64,2.507640443,2.897973413,0.001264814
2732.06,2.82,7.7,2.549999508,2.986241125,0.001032188
2328.75,3.2,7.44,2.495549932,2.86197289,0.001374128
2328.75,3.03,7.06,2.518318167,2.885680239,0.001301127
2460.96,2.82,6.94,2.549745084,2.940855446,0.001145894
2358.69,2.89,6.81,2.539523754,2.911773023,0.001225256
2520.97,2.45,6.17,2.611282513,3.012401593,0.000971848
2567.04,2.43,6.24,2.614248046,3.023826362,0.000946616
2400.78,3.08,7.4,2.511120645,2.891801648,0.001282916
2468.94,2.87,7.1,2.541252187,2.934628639,0.001162442
2505.91,2.8,7.03,2.552010144,2.951807438,0.001117359
2791.31,2.85,7.96,2.544895004,2.990963211,0.001021026
2907.43,2.74,7.96,2.5625962,3.025758705,0.000942413
2883.5,1.99,5.75,2.700252111,3.161066879,0.000690134
2820.46,1.99,5.62,2.700583629,3.151466868,0.000705559
2827.45,2.33,6.58,2.63316904,3.084039013,0.000824064
2560.98,2.07,5.3,2.684130317,3.092435841,0.000808284
2518.06,2.79,7.02,2.554728962,2.955461871,0.001107996
2403.87,2.97,7.14,2.527212766,2.908154528,0.001235508
2270.72,3.17,7.19,2.499434695,2.855104323,0.001396033
2506.95,2.4,6.03,2.61882836,3.018934431,0.000957339
2476.92,2.47,6.13,2.606451505,3.001215027,0.000997206
2477.9,2.46,6.11,2.608042565,3.003148669,0.000992776
2461.9,2.48,6.12,2.604518986,2.996818728,0.001007352
2488.97,2.63,6.54,2.580441914,2.976063914,0.001056662
2358.78,2.98,7.02,2.526350325,2.898471173,0.001263365
2397.82,3.04,7.3,2.516493718,2.896942995,0.001267818
2399.83,3.05,7.32,2.515669397,2.895880639,0.001270923
2259.56,3.01,6.81,2.520876766,2.875457382,0.001332118
2388.71,2.79,6.66,2.554689199,2.932559224,0.001167994
2433.81,3.01,7.33,2.521182697,2.907720176,0.001236744
2401.8,2.93,7.05,2.532347723,2.91366922,0.001219918
2353.72,3.03,7.13,2.518665268,2.890312169,0.001287324
2372.8,2.5,5.94,2.601474689,2.977321125,0.001053608
2358.78,3.11,7.34,2.506991377,2.879927048,0.001318478
2827.45,2.7,7.64,2.568301575,3.02003117,0.000954924
2886.52,1.96,5.67,2.706791512,3.1681185,0.000679018
2856.47,1.86,5.3,2.731553798,3.186316723,0.000651153
2832.4,2.38,6.73,2.624139521,3.075577629,0.000840277
4237.07,1.78,7.52,2.750847798,3.376645637,0.000420102
2455.85,3.15,7.75,2.500900135,2.891891283,0.001282652
2384.77,3.26,7.77,2.487025481,2.8642289,0.001367008
2471.9,2.99,7.39,2.524386459,2.917359709,0.001209596
2842.4,2.03,5.77,2.692509381,3.146189157,0.000714185
2757.41,2.62,7.22,2.581964149,3.022200055,0.000950167
2957.6,2.08,6.17,2.680654274,3.152876103,0.000703273
2872.5,2.52,7.25,2.597922031,3.056859497,0.000877285
2845.43,2.24,6.39,2.648647048,3.103899888,0.000787227
2567.04,2.68,6.89,2.571213414,2.981297842,0.001044004
2328.75,3.28,7.64,2.484029509,2.851249024,0.001408481
2576.1,2.65,6.83,2.576542014,2.987716844,0.001028687
2490.99,2.58,6.42,2.588836956,2.984752278,0.001035733
2519.04,2.57,6.47,2.590330783,2.99130194,0.00102023
2548,2.3,5.86,2.638301808,3.044471588,0.000902669
2487.94,2.74,6.81,2.562692791,2.95808934,0.001101313
2486.91,2.84,7.07,2.546240655,2.942341729,0.001141979
2448.86,2.71,6.64,2.566795878,2.955994667,0.001106637
2710.13,1.84,5,2.734020119,3.168172301,0.000678934
2580.02,1.94,5,2.712653068,3.123821343,0.000751932
2633.04,2.01,5.3,2.696181587,3.117261399,0.000763376
2632.06,2.01,5.3,2.696019916,3.117099728,0.00076366
2703.14,1.96,5.3,2.707592669,3.139612468,0.000725083
2646.09,2,5.3,2.698328742,3.121574616,0.000755832
2661.05,1.88,5,2.726083031,3.150895186,0.000706488
2568.96,1.95,5,2.710787338,3.119722731,0.000759062
2662.15,1.99,5.3,2.700956653,3.126379446,0.000747516
2599.99,1.92,5,2.716001673,3.131670449,0.000738464
